Word,Level,Weight,Length,Start,End
surgeri,1,15.11137343,5,2002,
primari,1,16.08003246,8,1952,1966
pneumonectomi,1,17.16486245,4,2004,
human,1,12.56895499,5,1992,2000
chemotherapi,1,12.84805605,5,2002,
pemetrex,1,21.77922685,5,2002,
mesothelin,1,14.2407979,3,2006,
pericardium,1,26.57427421,16,1950,1980
extrapleur,1,15.16887004,4,2004,
author,1,24.0271173,5,1974,1982
transl,1,24.0271173,5,1974,1982
fibrous,1,11.87132908,9,1972,1988
case,1,32.92389778,22,1932,1974
gene,1,13.65603909,6,1994,2004
pleura,1,43.95789884,23,1932,1976
asbestosi,1,11.91051734,12,1960,1982
report,1,12.28850579,18,1932,1966
diffus,1,18.02422603,16,1956,1986
