chapter,title,mort-total-US04,mort-male-US04,mort-female-US04
1,Cholera,,,
1,"Cholera due to Vibrio cholerae 01, biovar cholerae",0,0,0
1,"Cholera due to Vibrio cholerae 01, biovar eltor",0,0,0
1,"Cholera, unspecified",2,2,0
1,Typhoid and paratyphoid fevers,,,
1,Typhoid fever,1,0,1
1,Paratyphoid fever A,0,0,0
1,Paratyphoid fever B,0,0,0
1,Paratyphoid fever C,0,0,0
1,"Paratyphoid fever, unspecified",0,0,0
1,Other salmonella infections,,,
1,Salmonella enteritis,70,36,34
1,Salmonella sepsis,110,65,45
1,Localized salmonella infections,5,2,3
1,Other specified salmonella infections,0,0,0
1,"Salmonella infection, unspecified",15,9,6
1,Shigellosis,,,
1,Shigellosis due to Shigella dysenteriae,0,0,0
1,Shigellosis due to Shigella flexneri,0,0,0
1,Shigellosis due to Shigella boydii,0,0,0
1,Shigellosis due to Shigella sonnei,1,1,0
1,Other shigellosis,0,0,0
1,"Shigellosis, unspecified",22,12,10
1,Other bacterial intestinal infections,,,
1,Enteropathogenic Escherichia coli infection,1,1,0
1,Enterotoxigenic Escherichia coli infection,2,1,1
1,Enteroinvasive Escherichia coli infection,1,1,0
1,Enterohaemorrhagic Escherichia coli infection,0,0,0
1,Other intestinal Escherichia coli infections,24,8,16
1,Campylobacter enteritis,5,4,1
1,Enteritis due to Yersinia enterocolitica,0,0,0
1,Enterocolitis due to Clostridium difficile,12259,4586,7673
1,Other specified bacterial intestinal infections,354,133,221
1,"Bacterial intestinal infection, unspecified",76,27,49
1,"Other bacterial foodborne intoxications, not elsewhere classified",,,
1,Foodborne staphylococcal intoxication,3,1,2
1,Botulism,19,14,5
1,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,12,10,2
1,Foodborne Vibrio parahaemolyticus intoxication,9,9,0
1,Foodborne Bacillus cereus intoxication,0,0,0
1,Other specified bacterial foodborne intoxications,1,1,0
1,"Bacterial foodborne intoxication, unspecified",2,1,1
1,Amoebiasis,,,
1,Acute amoebic dysentery,4,3,1
1,Chronic intestinal amoebiasis,2,0,2
1,Amoebic nondysenteric colitis,0,0,0
1,Amoeboma of intestine,0,0,0
1,Amoebic liver abscess,6,5,1
1,Amoebic lung abscess,0,0,0
1,Amoebic brain abscess,0,0,0
1,Cutaneous amoebiasis,0,0,0
1,Amoebic infection of other sites,3,2,1
1,"Amoebiasis, unspecified",9,5,4
1,Other protozoal intestinal diseases,,,
1,Balantidiasis,0,0,0
1,Giardiasis [lambliasis],2,2,0
1,Cryptosporidiosis,3,1,2
1,Isosporiasis,13,10,3
1,Other specified protozoal intestinal diseases,0,0,0
1,"Protozoal intestinal disease, unspecified",1,0,1
1,Viral and other specified intestinal infections,,,
1,Rotaviral enteritis,24,15,9
1,Acute gastroenteropathy due to Norwalk agent,2,1,1
1,Adenoviral enteritis,2,2,0
1,Other viral enteritis,8,2,6
1,"Viral intestinal infection, unspecified",584,215,369
1,Other specified intestinal infections,5,2,3
1,Other gastroenteritis and colitis of infectious and unspecified origin,,,
1,Other and unspecified gastroenteritis and colitis of infectious origin,0,0,0
1,Gastroenteritis and colitis of unspecified origin,0,0,0
1,"Respiratory tuberculosis, bacteriologically and histologically confirmed",,,
1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",0,0,0
1,"Tuberculosis of lung, confirmed by culture only",0,0,0
1,"Tuberculosis of lung, confirmed histologically",0,0,0
1,"Tuberculosis of lung, confirmed by unspecified means",0,0,0
1,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",0,0,0
1,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",0,0,0
1,"Tuberculous pleurisy, confirmed bacteriologically and histologically",0,0,0
1,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,0
1,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",0,0,0
1,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",0,0,0
1,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,
1,"Tuberculosis of lung, bacteriologically and histologically negative",0,0,0
1,"Tuberculosis of lung, bacteriological and histological examination not done",0,0,0
1,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2129,1333,796
1,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",1,1,0
1,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",13,6,7
1,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",54,38,16
1,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,4,1,3
1,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",1,1,0
1,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",1469,902,567
1,Tuberculosis of nervous system,,,
1,Tuberculous meningitis,113,53,60
1,Meningeal tuberculoma,0,0,0
1,Other tuberculosis of nervous system,19,11,8
1,"Tuberculosis of nervous system, unspecified",2,0,2
1,Tuberculosis of other organs,,,
1,Tuberculosis of bones and joints,370,183,187
1,Tuberculosis of genitourinary system,17,11,6
1,Tuberculous peripheral lymphadenopathy,2,2,0
1,"Tuberculosis of intestines, peritoneum and mesenteric glands",38,20,18
1,Tuberculosis of skin and subcutaneous tissue,3,2,1
1,Tuberculosis of eye,0,0,0
1,Tuberculosis of ear,0,0,0
1,Tuberculosis of adrenal glands,3,1,2
1,Tuberculosis of other specified organs,35,22,13
1,Miliary tuberculosis,,,
1,Acute miliary tuberculosis of a single specified site,0,0,0
1,Acute miliary tuberculosis of multiple sites,0,0,0
1,"Acute miliary tuberculosis, unspecified",0,0,0
1,Other miliary tuberculosis,5,5,0
1,"Miliary tuberculosis, unspecified",344,208,136
1,Plague,,,
1,Bubonic plague,0,0,0
1,Cellulocutaneous plague,0,0,0
1,Pneumonic plague,0,0,0
1,Plague meningitis,0,0,0
1,Septicaemic plague,1,0,1
1,Other forms of plague,0,0,0
1,"Plague, unspecified",1,1,0
1,Tularaemia,,,
1,Ulceroglandular tularaemia,0,0,0
1,Oculoglandular tularaemia,0,0,0
1,Pulmonary tularaemia,3,3,0
1,Gastrointestinal tularaemia,0,0,0
1,Generalized tularaemia,3,3,0
1,Other forms of tularaemia,0,0,0
1,"Tularaemia, unspecified",3,3,0
1,Anthrax,,,
1,Cutaneous anthrax,0,0,0
1,Pulmonary anthrax,0,0,0
1,Gastrointestinal anthrax,0,0,0
1,Anthrax sepsis,0,0,0
1,Other forms of anthrax,0,0,0
1,"Anthrax, unspecified",0,0,0
1,Brucellosis,,,
1,Brucellosis due to Brucella melitensis,0,0,0
1,Brucellosis due to Brucella abortus,0,0,0
1,Brucellosis due to Brucella suis,0,0,0
1,Brucellosis due to Brucella canis,0,0,0
1,Other brucellosis,0,0,0
1,"Brucellosis, unspecified",2,0,2
1,Glanders and melioidosis,,,
1,Glanders,0,0,0
1,Acute and fulminating melioidosis,1,1,0
1,Subacute and chronic melioidosis,0,0,0
1,Other melioidosis,0,0,0
1,"Melioidosis, unspecified",0,0,0
1,Rat-bite fevers,,,
1,Spirillosis,0,0,0
1,Streptobacillosis,1,0,1
1,"Rat-bite fever, unspecified",1,0,1
1,Erysipeloid,,,
1,Cutaneous erysipeloid,1,0,1
1,Erysipelothrix sepsis,3,2,1
1,Other forms of erysipeloid,0,0,0
1,"Erysipeloid, unspecified",0,0,0
1,Leptospirosis,,,
1,Leptospirosis icterohaemorrhagica,0,0,0
1,Other forms of leptospirosis,0,0,0
1,"Leptospirosis, unspecified",1,1,0
1,"Other zoonotic bacterial diseases, not elsewhere classified",,,
1,Pasteurellosis,59,29,30
1,Cat-scratch disease,1,1,0
1,Extraintestinal yersiniosis,1,1,0
1,"Other specified zoonotic bacterial diseases, not elsewhere classified",34,17,17
1,"Zoonotic bacterial disease, unspecified",0,0,0
1,Leprosy [Hansen disease],,,
1,Indeterminate leprosy,1,0,1
1,Tuberculoid leprosy,0,0,0
1,Borderline tuberculoid leprosy,0,0,0
1,Borderline leprosy,1,1,0
1,Borderline lepromatous leprosy,0,0,0
1,Lepromatous leprosy,0,0,0
1,Other forms of leprosy,0,0,0
1,"Leprosy, unspecified",11,6,5
1,Infection due to other mycobacteria,,,
1,Pulmonary mycobacterial infection,1105,540,565
1,Cutaneous mycobacterial infection,0,0,0
1,Other mycobacterial infections,26,17,9
1,"Mycobacterial infection, unspecified",245,120,125
1,Listeriosis,,,
1,Cutaneous listeriosis,0,0,0
1,Listerial meningitis and meningoencephalitis,117,47,70
1,Listerial sepsis,67,32,35
1,Other forms of listeriosis,8,5,3
1,"Listeriosis, unspecified",30,13,17
1,Tetanus neonatorum,0,0,0
1,Obstetrical tetanus,0,0,0
1,Other tetanus,30,14,16
1,Diphtheria,,,
1,Pharyngeal diphtheria,0,0,0
1,Nasopharyngeal diphtheria,0,0,0
1,Laryngeal diphtheria,0,0,0
1,Cutaneous diphtheria,0,0,0
1,Other diphtheria,0,0,0
1,"Diphtheria, unspecified",2,2,0
1,Whooping cough,,,
1,Whooping cough due to Bordetella pertussis,10,6,4
1,Whooping cough due to Bordetella parapertussis,1,0,1
1,Whooping cough due to other Bordetella species,0,0,0
1,"Whooping cough, unspecified",70,24,46
1,Scarlet fever,4,1,3
1,Meningococcal infection,,,
1,Meningococcal meningitis,339,161,178
1,Waterhouse-Friderichsen syndrome,181,94,87
1,Acute meningococcaemia,27,12,15
1,Chronic meningococcaemia,0,0,0
1,"Meningococcaemia, unspecified",520,257,263
1,Meningococcal heart disease,0,0,0
1,Other meningococcal infections,8,4,4
1,"Meningococcal infection, unspecified",22,10,12
1,Streptococcal sepsis,,,
1,"Sepsis due to streptococcus, group A",175,73,102
1,"Sepsis due to streptococcus, group B",150,61,89
1,"Sepsis due to streptococcus, group D",1074,526,548
1,Sepsis due to Streptococcus pneumoniae,1260,592,668
1,Other streptococcal sepsis,127,56,71
1,"Streptococcal sepsis, unspecified",921,421,500
1,Other sepsis,,,
